,dry_weight,water_cont,UCS,type,elastic_mod
6,1819,9.9,12.36,1,42.52023
7,1780,10.3,10.23,1,41.613194
8,1739,10.0,8.03,1,40.667557
9,1798,10.3,13.68,1,42.013157
10,1804,10.1,9.11,1,42.187214
11,1830,9.4,13.35,1,42.777794
12,1727,10.3,5.86,1,40.396725
13,1800,10.0,8.31,1,42.09969
14,1711,10.5,7.07,1,40.010105
15,1885,9.0,12.9,1,44.07829
16,1755,11.5,7.78,1,41.028416
17,1740,12.1,7.77,1,40.66907
65,1760,18.2,3.85,2,41.08458
66,1737,19.6,3.38,2,40.53102
67,1842,15.4,3.64,2,43.046146
68,1874,10.9,10.48,2,43.803524
69,1967,7.6,11.08,2,46.02286
70,1718,12.6,10.43,2,40.11728
71,1733,12.7,10.83,2,40.4661
72,1770,12.9,11.83,2,41.326973
73,1719,13.2,10.66,2,40.132458
94,2000,12.31,3.54,3,46.78537
